,name,formatted_address,rating,user_ratings_total,types,price_level,dance_type,city
0,Gonzalez y Gonzalez,"192 Mercer St, New York, NY 10012, United States",4.1,1820,"['restaurant', 'night_club', 'food', 'point_of_interest', 'establishment']",2.0,Salsa,New York
1,Club Cache,"214 W 39th St, New York, NY 10018, United States",3.9,261,"['night_club', 'point_of_interest', 'establishment']",,Salsa,New York
2,Salsa Con Fuego,"2297 Cedar Ave, Bronx, NY 10468, United States",4.2,5711,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,Salsa,New York
3,Copacabana Nightclub,"625 W 51st St, New York, NY 10019, United States",3.5,631,"['night_club', 'point_of_interest', 'establishment']",,Salsa,New York
4,230 Fifth Rooftop Bar,"1150 Broadway, New York, NY 10001, United States",4.3,21498,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,New York
5,Deseos Lounge,"52-15 Roosevelt Ave, Woodside, NY 11377, United States",4.1,175,"['night_club', 'bar', 'point_of_interest', 'establishment']",,Salsa,New York
6,Salsamania Saturdays,"224 W 35th St, New York, NY 10001, United States",4.8,93,"['point_of_interest', 'establishment']",,Salsa,New York
7,The Delancey Rooftop,"168 Delancey St, New York, NY 10002, United States",4.0,1800,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,Salsa,New York
8,Bembe,"81 S 6th St, Brooklyn, NY 11249, United States",4.3,1226,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,New York
9,LVG Salsa Social NYC,"617 W 46th St, New York, NY 10036, United States",4.9,39,"['point_of_interest', 'establishment']",,Salsa,New York
10,Candela Fridays NYC,"37 W 26th St, New York, NY 10010, United States",4.9,16,"['point_of_interest', 'establishment']",,Salsa,New York
11,Joel Salsa,"38 W 32nd St 4th floor, New York, NY 10001, United States",5.0,456,"['point_of_interest', 'establishment']",,Salsa,New York
12,Solas,"232 E 9th St # 1, New York, NY 10003, United States",3.9,860,"['bar', 'point_of_interest', 'establishment']",2.0,Salsa,New York
13,Sounds Of Brazil,"204 Varick St, New York, NY 10014, United States",3.7,575,"['night_club', 'bar', 'point_of_interest', 'establishment']",3.0,Salsa,New York
14,Hairos Night Club,"81-09 Roosevelt Ave, Jackson Heights, NY 11372, United States",3.6,77,"['night_club', 'bar', 'point_of_interest', 'establishment']",,Salsa,New York
